Individual,PC1,PC2,PC3,PC4,Population
BOO001,-0.0052,-0.0166,-0.0032,0.0119,BolshoyOleniOstrov
BOO002,-0.0048,-0.0159,-0.004,0.007,BolshoyOleniOstrov
BOO003,-0.0048,-0.0164,-0.0042,0.0073,BolshoyOleniOstrov
BOO004,-0.005,-0.0152,-0.0037,0.0089,BolshoyOleniOstrov
BOO005,-0.0049,-0.0157,-0.0044,0.0061,BolshoyOleniOstrov
BOO006,-0.0097,-0.0174,-0.003,0.0171,BolshoyOleniOstrov
CHV001,0.0052,-0.0104,-0.005,0.0073,ChalmnyVarre
CHV002,0.0048,-0.0106,-0.005,0.0053,ChalmnyVarre
JK1963,-0.0052,-0.0098,-0.0032,0.0065,JK1963
JK1967,-0.0038,-0.0148,-0.0039,0.0022,JK1967
JK1968,0.0048,-0.0091,-0.0047,0.0036,Levanluhta
JK1970,0.0022,-0.0115,-0.0042,0.0094,Levanluhta
JK2065,0.0153,-0.0052,-0.0056,-0.0043,JK2065
JK2066,0.0061,-0.0019,-0.0042,0.0042,JK2066
JK2067,0.0017,0.0049,-0.0037,0.0347,JK2067
Saami001,0.0059,-0.0107,-0.0063,0.0078,ModernSaami
HG00171,0.0112,-0.0081,-0.0066,6e-4,Finnish
HG00174,0.0131,-0.006,-0.0057,-0.0024,Finnish
HG00190,0.0128,-0.0053,-0.0059,-1e-4,Finnish
HG00266,0.0122,-0.0067,-0.0059,-0.0016,Finnish
HG00183,0.0115,-0.0067,-0.0056,-8e-4,Finnish
HG00173,0.0121,-0.007,-0.0063,-0.0012,Finnish
HG00181,0.013,-0.0048,-0.004,0.001,Finnish
HG00182,0.0116,-0.0078,-0.0059,1e-4,Finnish
S_Saami-1.DG,0.0055,-0.0101,-0.0056,0.0038,Saami.DG
S_Saami-2.DG,0.0036,-0.0109,-0.0051,0.0093,Saami.DG
SD60_297,0.0057,-0.0099,-0.0055,0.0063,Saami_WGA
Nov_005,-0.0266,-0.0228,0.0019,0.0573,Nganasan
ADR00514,-0.0251,-0.0218,0.0012,0.052,Nganasan
ADR00513,-0.0263,-0.0229,0.0021,0.0604,Nganasan
ADR00509,-0.0256,-0.0209,0.0018,0.0563,Nganasan
ADR00512,-0.0258,-0.0225,0.0017,0.055,Nganasan
ADR00504,-0.0255,-0.0225,0.0017,0.0576,Nganasan
ADR00507,-0.0258,-0.0214,0.0022,0.0564,Nganasan
ADR00511,-0.0257,-0.0233,0.0017,0.0572,Nganasan
ADR00510,-0.0263,-0.0216,0.0018,0.0563,Nganasan
ADR00508,-0.0253,-0.022,0.0014,0.0535,Nganasan
ADR00515,-0.026,-0.0218,0.0015,0.0596,Nganasan
Mansi48,-0.0055,-0.0141,-0.0025,0.0149,Mansi
Mansi76,-0.0083,-0.0159,-0.0016,0.0211,Mansi
Mansi94,-0.0076,-0.0153,-0.0026,0.0191,Mansi
Mansi43,-0.0036,-0.0129,-0.003,0.0133,Mansi
Mansi79,-0.0085,-0.0142,-0.0023,0.019,Mansi
Mansi91,-0.0071,-0.0145,-0.0026,0.0203,Mansi
Mansi84,-0.0087,-0.0158,-0.0026,0.0197,Mansi
Mansi56,-0.0056,-0.0144,-0.0026,0.0153,Mansi
hungary3,0.0158,-0.0025,-0.0037,-0.0021,Hungarian
hungary6,0.0157,-0.0021,-0.0036,-0.0043,Hungarian
HungarianC5,0.0153,-0.0036,-0.0043,-0.0023,Hungarian
hungary7,0.0153,-0.003,-0.0043,-0.0037,Hungarian
HungarianE5,0.0153,-0.0037,-0.0039,-0.0038,Hungarian
HungarianH3,0.0158,-0.0026,-0.0042,-0.0041,Hungarian
hungary15,0.015,-0.0033,-0.0037,-0.0029,Hungarian
hungary20,0.0156,-0.0023,-0.0045,-0.0013,Hungarian
hungary2,0.0149,-0.0027,-0.0041,-0.0017,Hungarian
HungarianD1,0.0156,-0.0025,-0.003,-0.003,Hungarian
NA15202,0.0156,-0.0023,-0.0047,-0.0021,Hungarian
NA15203,0.0154,-0.0028,-0.0045,-0.0028,Hungarian
NA15204,0.0153,-0.0028,-0.0038,-0.0011,Hungarian
NA15205,0.0154,-0.003,-0.0044,-0.0027,Hungarian
NA15206,0.0156,-0.0021,-0.0041,-0.0019,Hungarian
NA15199,0.0159,-0.0032,-0.0043,6e-4,Hungarian
NA15207,0.0151,-0.0035,-0.0038,-0.0011,Hungarian
NA15200,0.0154,-0.0032,-0.0043,-0.0049,Hungarian
NA15208,0.0158,-0.0026,-0.0043,-0.0025,Hungarian
NA15201,0.0156,-0.0023,-0.0041,-0.003,Hungarian
Est393,0.0142,-0.0055,-0.0065,-0.004,Estonian
Est375,0.0147,-0.0052,-0.0068,-0.0032,Estonian
Est380,0.0134,-0.0071,-0.0066,-0.0012,Estonian
Est391,0.0144,-0.0053,-0.0069,-0.0038,Estonian
Est377,0.0145,-0.0057,-0.0069,-0.0039,Estonian
Est372,0.014,-0.0056,-0.0068,-0.0034,Estonian
Est358,0.0146,-0.0053,-0.0066,-0.0034,Estonian
Est400,0.0145,-0.0051,-0.0059,-0.0036,Estonian
Est397,0.0142,-0.0054,-0.0062,-0.0039,Estonian
Est394,0.0146,-0.006,-0.006,-0.0061,Estonian
Mordovians27,0.0114,-0.0061,-0.005,-0.0016,Mordovian
Mordovians28,0.0119,-0.006,-0.0052,-0.0021,Mordovian
Mordovians30,0.0116,-0.006,-0.0047,6e-4,Mordovian
Mordovians4,0.012,-0.0058,-0.0048,9e-4,Mordovian
Mordovians31,0.0123,-0.0053,-0.0052,-0.0023,Mordovian
Mordovians17,0.0128,-0.0052,-0.0053,-6e-4,Mordovian
Mordovians1,0.0124,-0.0057,-0.0048,-0.0011,Mordovian
Mordovians22,0.0121,-0.0065,-0.0051,-0.0012,Mordovian
Mordovians32,0.0115,-0.0054,-0.0054,-0.002,Mordovian
Mordovians5,0.0126,-0.0057,-0.0055,-0.002,Mordovian
Selkup38,-0.0135,-0.0173,-0.0015,0.0275,Selkup
Selkup83,-0.0184,-0.0169,-1e-4,0.0369,Selkup
Selkup87,-0.0215,-0.0179,0.0011,0.0409,Selkup
Selkup220,-0.0085,-0.0143,-0.0021,0.0208,Selkup
Selkup121,-0.0141,-0.0166,-0.0014,0.0293,Selkup
Selkup105,-2e-4,-0.0112,-0.0031,0.0103,Selkup
Selkup82,-0.0131,-0.0177,-0.0014,0.0266,Selkup
Selkup4,-0.0117,-0.017,-0.0016,0.0233,Selkup
Selkup21,-0.0097,-0.0159,-0.0021,0.0208,Selkup
Selkup4a,-0.017,-0.0171,-3e-4,0.0316,Selkup
ALB191,0.0164,-0.0012,-0.0015,-3e-4,Albanian
ALB213,0.0161,0,-0.001,-0.0025,Albanian
ALB202,0.0159,7e-4,-0.0012,-0.0023,Albanian
ALB212,0.0167,8e-4,-0.0011,-0.0013,Albanian
ALB220,0.0165,9e-4,-6e-4,-9e-4,Albanian
ALB230,0.0162,2e-4,-0.0015,-0.0024,Albanian
HGDP01357,0.0174,-6e-4,-0.0041,-0.0041,Basque
HGDP01358,0.017,-0.0012,-0.0044,-0.0013,Basque
HGDP01359,0.0169,-0.0012,-0.0046,-0.003,Basque
HGDP01360,0.0169,-0.0026,-0.0051,-0.0021,Basque
HGDP01362,0.0174,-9e-4,-0.0046,-0.0037,Basque
HGDP01363,0.0173,-0.0013,-0.0045,-0.0032,Basque
HGDP01364,0.0173,-0.0013,-0.0038,-0.0037,Basque
HGDP01365,0.0172,-0.0011,-0.0043,-0.0032,Basque
HGDP01366,0.0172,-0.0012,-0.0045,-0.0013,Basque
HGDP01367,0.017,-0.0014,-0.0048,-0.0051,Basque
HGDP01368,0.0172,-9e-4,-0.0042,-0.0048,Basque
HGDP01370,0.0172,-0.0016,-0.0044,-0.0051,Basque
HGDP01371,0.016,-0.0019,-0.0046,-0.0051,Basque
HGDP01373,0.0167,-0.0017,-0.0043,-0.0046,Basque
HGDP01374,0.0169,-0.0013,-0.0046,-0.003,Basque
HGDP01375,0.0172,-0.0018,-0.0042,-0.0042,Basque
HGDP01377,0.0174,-0.0011,-0.0045,-0.0026,Basque
HGDP01378,0.0176,-0.0016,-0.0044,-0.0047,Basque
HGDP01379,0.0171,-0.0019,-0.0044,-0.0034,Basque
HGDP01380,0.0173,-0.0015,-0.0044,-0.0046,Basque
BAS35,0.017,-0.0023,-0.0045,-0.0045,Basque
BAS31,0.0175,-0.0026,-0.0044,-0.0042,Basque
BAS22,0.017,-0.0012,-0.0046,-0.0042,Basque
BAS25,0.0172,-0.0013,-0.0046,-0.0045,Basque
BAS32,0.0179,-0.0018,-0.004,-0.0041,Basque
BAS30,0.0166,-0.0014,-0.0045,-0.0045,Basque
BAS28,0.0173,-0.0015,-0.0047,-0.0028,Basque
BAS27,0.0173,-0.0019,-0.0043,-0.0053,Basque
BAS33,0.0171,-0.0014,-0.0042,-0.0052,Basque
BulgarianD6,0.0157,-0.0014,-0.0026,-0.0026,Bulgarian
BulgarianA4,0.0157,-0.0012,-0.0028,-0.0031,Bulgarian
BulgarianE2,0.0162,-0.0014,-0.0023,-0.0051,Bulgarian
BulgarianB4,0.0155,-9e-4,-0.0019,-0.0021,Bulgarian
BulgarianA1,0.0159,-0.0013,-0.0017,-0.0027,Bulgarian
BulgarianB1,0.0165,-9e-4,-0.0023,-0.0026,Bulgarian
BulgarianC1,0.0163,-8e-4,-0.0014,-0.0011,Bulgarian
BulgarianF1,0.0156,-9e-4,-0.0024,-0.0019,Bulgarian
BulgarianH2,0.0163,5e-4,-0.0017,-0.0015,Bulgarian
BulgarianF2,0.016,-0.0012,-0.0024,3e-4,Bulgarian
NA17373,0.017,4e-4,-0.001,-0.0026,Greek
NA17374,0.0169,0.0042,0.0024,0.0011,Greek
NA17375,0.0158,0.0022,2e-4,-0.0016,Greek
NA17376,0.0167,0.0035,0.0016,-0.0011,Greek
NA17377,0.0165,4e-4,-0.0013,-4e-4,Greek
NA17372,0.0164,4e-4,0,1e-4,Greek
GREEKGRALPOP18,0.0168,2e-4,-0.0012,-0.0031,Greek
GREEKGRALPOP13,0.0165,4e-4,-7e-4,-0.0019,Greek
GREEKGRALPOP15,0.0162,4e-4,-0.0014,-0.0016,Greek
GREEKGRALPOP5,0.0159,0.0013,-0.001,-0.0035,Greek
GREEKGRALPOP9,0.0161,4e-4,-0.0013,-0.0019,Greek
GREEKGRALPOP4,0.0168,9e-4,-5e-4,-3e-4,Greek
GREEKGRALPOP17,0.0164,2e-4,-0.0013,-0.0025,Greek
GREEKGRALPOP16,0.0165,3e-4,-8e-4,-6e-4,Greek
GREEKGRALPOP11,0.0166,4e-4,-0.0011,-0.0025,Greek
GREEKGRALPOP10,0.0156,3e-4,-9e-4,-0.0017,Greek
GREEKGRALPOP3,0.0162,1e-4,-0.0013,-3e-4,Greek
GREEKGRALPOP8,0.0166,-2e-4,-0.0013,-0.002,Greek
GREEKGRALPOP12,0.0158,1e-4,-6e-4,-2e-4,Greek
GREEKGRALPOP14,0.0167,6e-4,-7e-4,-4e-4,Greek
CYP19,0.0166,0.0036,0.0025,0.0015,Cypriot
CYP5,0.0165,0.0033,0.003,3e-4,Cypriot
Cyprus13AJ19,0.0164,0.0025,0.0018,0.001,Cypriot
Cyprus24AJ19,0.0168,0.0038,0.0028,9e-4,Cypriot
CYP2,0.0166,0.0036,0.0026,0.0017,Cypriot
Cyprus2AJ19,0.0167,0.0051,0.0046,-1e-4,Cypriot
Cyprus22AJ19,0.0167,0.004,0.0026,3e-4,Cypriot
Cyprus21AJ19,0.0163,0.0039,0.0036,0.0016,Cypriot
CRO53,0.0161,-0.0027,-0.0037,-0.0035,Croatian
CRO103,0.0166,-0.002,-0.0035,-0.004,Croatian
CRO107,0.0162,-0.0022,-0.0036,-0.0017,Croatian
CRO47,0.0155,-0.0026,-0.0042,-0.003,Croatian
CRO41,0.0162,-0.0034,-0.0035,-0.0023,Croatian
CRO66,0.015,-0.0016,-0.003,-0.0046,Croatian
CRO153,0.0161,-0.0025,-0.0033,-0.0016,Croatian
CRO31,0.0159,-0.0016,-0.0037,-0.0029,Croatian
CRO93,0.0157,-0.0024,-0.0036,-0.0024,Croatian
CRO48,0.0161,-0.0022,-0.0036,-0.0029,Croatian
HGDP01147,0.0174,-8e-4,-0.0024,-0.0016,Italian_North
HGDP01151,0.0168,-6e-4,-0.0026,-0.0024,Italian_North
HGDP01152,0.017,-2e-4,-0.0018,-0.0036,Italian_North
HGDP01153,0.017,2e-4,-0.0021,-0.0019,Italian_North
HGDP01155,0.0168,-2e-4,-0.0017,-0.0026,Italian_North
HGDP01156,0.0171,1e-4,-0.0019,-0.0032,Italian_North
HGDP01157,0.0166,-2e-4,-0.0023,-0.0031,Italian_North
HGDP01161,0.0171,7e-4,-0.001,-0.0019,Italian_North
HGDP01162,0.017,0.0014,-0.0011,-0.0042,Italian_North
HGDP01163,0.0167,6e-4,-0.0011,-0.0026,Italian_North
HGDP01164,0.0171,9e-4,-0.0012,-0.0016,Italian_North
HGDP01166,0.0171,8e-4,-0.0014,9e-4,Italian_North
HGDP01167,0.0161,6e-4,-0.001,-0.0012,Italian_North
HGDP01168,0.0168,9e-4,-0.0013,-0.0035,Italian_North
HGDP01169,0.017,0.0013,-0.0011,-0.001,Italian_North
HGDP01171,0.0171,2e-4,-0.0019,-0.0027,Italian_North
HGDP01172,0.0164,2e-4,-0.0018,-0.0027,Italian_North
HGDP01173,0.0166,4e-4,-0.0024,-0.0039,Italian_North
HGDP01174,0.0172,4e-4,-0.0016,-0.0017,Italian_North
HGDP01177,0.0169,4e-4,-0.0024,-0.0025,Italian_North
BEL57,0.0168,0.0025,8e-4,-0.0033,Italian_South
Malta4AM91,0.0162,0.0024,9e-4,-0.002,Maltese
Malta8AM91,0.017,0.0023,0.001,-4e-4,Maltese
Malta7AM91,0.0169,0.0014,0.0019,-0.0026,Maltese
Malta17AM91,0.016,0.0028,0.0012,-3e-4,Maltese
Malta2AM91,0.0164,0.003,0.0018,1e-4,Maltese
Malta16AM91,0.0163,0.0033,0.0019,-2e-4,Maltese
Malta15AM91,0.0163,0.0027,0.0012,2e-4,Maltese
Malta12AM91,0.017,0.0025,0.0014,-0.0021,Maltese
HG01695,0.0162,0.0017,-6e-4,-0.0026,Canary_Islander
HG01694,0.0169,0.001,-3e-4,-0.0024,Canary_Islander
HGDP00666,0.0184,0.0019,-0.0011,-0.0017,Sardinian
HGDP00667,0.0177,0.0013,-0.0017,-0.0043,Sardinian
HGDP00668,0.0182,0.0016,-0.0013,-8e-4,Sardinian
HGDP00669,0.0181,0.0031,-0.0014,-0.0023,Sardinian
HGDP00670,0.0182,0.0023,-0.0012,-0.0034,Sardinian
HGDP00671,0.0184,0.0023,-0.0016,-0.0039,Sardinian
HGDP00672,0.0178,0.0023,-0.001,-0.0029,Sardinian
HGDP00673,0.0179,0.002,-8e-4,-0.0036,Sardinian
HGDP00674,0.0181,0.0019,-0.0015,-0.0024,Sardinian
HGDP01062,0.0184,0.003,-0.0012,-0.0024,Sardinian
HGDP01063,0.0186,0.0026,-0.0013,-0.003,Sardinian
HGDP01064,0.0182,0.0025,-0.0011,-0.0024,Sardinian
HGDP01065,0.0186,0.0024,-0.0016,-0.002,Sardinian
HGDP01066,0.0187,0.0026,-0.0014,-0.0015,Sardinian
HGDP01067,0.0176,0.0031,-9e-4,-0.0023,Sardinian
HGDP01068,0.0182,0.0025,-8e-4,-0.0036,Sardinian
HGDP01069,0.0179,0.0024,-0.0015,-0.0034,Sardinian
HGDP01070,0.0183,0.0023,-0.0011,-0.0024,Sardinian
HGDP01071,0.0176,0.002,-0.001,-0.001,Sardinian
HGDP01072,0.0178,0.0024,-9e-4,-0.0013,Sardinian
HGDP01073,0.0184,0.0021,-0.0011,-0.0015,Sardinian
HGDP01074,0.0182,0.0023,-0.0013,1e-4,Sardinian
HGDP01075,0.0186,0.0023,-9e-4,-0.001,Sardinian
HGDP01076,0.0186,0.002,-0.0011,-0.002,Sardinian
HGDP01077,0.0184,0.0015,-0.0012,-0.0022,Sardinian
HGDP01078,0.018,0.0016,-0.0013,-0.0014,Sardinian
HGDP01079,0.0179,0.0016,-0.0014,-0.0026,Sardinian
TP08,0.0161,0.0013,5e-4,-0.001,Sicilian
SR23,0.0163,0.0018,4e-4,-0.0014,Sicilian
TP05,0.0164,0.0018,0.0012,-0.0031,Sicilian
SR60,0.0167,0.002,0.0012,-0.0018,Sicilian
TP06,0.017,0.0023,2e-4,-0.0022,Sicilian
TP07,0.0165,0.0028,0.0013,0.0011,Sicilian
TP04,0.0168,0.0014,2e-4,-9e-4,Sicilian
TP25,0.0161,0.0033,3e-4,-0.0018,Sicilian
SR48R,0.0158,0.0021,8e-4,-0.0036,Sicilian
SR44,0.0166,0.0017,8e-4,-0.0029,Sicilian
SR64,0.0166,0.0022,7e-4,-0.0022,Sicilian
HG01500,0.0163,7e-4,-0.0021,5e-4,Spanish
HG01501,0.0164,4e-4,-0.0019,-0.0053,Spanish
HG01503,0.0168,-0.0011,-0.0025,-0.0018,Spanish
HG01504,0.0165,0.0011,-0.002,-0.0026,Spanish
HG01506,0.0168,-4e-4,-0.0023,-0.0053,Spanish
HG01507,0.0165,-6e-4,-0.0026,-0.0035,Spanish
HG01509,0.0173,5e-4,-0.0015,-0.0032,Spanish
HG01510,0.0169,-1e-4,-0.0024,-0.0053,Spanish
HG01512,0.0169,-0.0016,-0.0032,-0.005,Spanish
HG01513,0.0171,-9e-4,-0.0032,-0.0031,Spanish
HG01524,0.0167,5e-4,-0.0022,-0.003,Spanish
HG01527,0.0167,0,-0.0014,-0.002,Spanish
HG01528,0.0167,-2e-4,-0.0022,-0.0029,Spanish
HG01530,0.0163,0,-0.0025,-0.0013,Spanish
HG01536,0.0165,-0.0011,-0.003,-0.0025,Spanish
HG01537,0.0168,-0.0013,-0.0026,-0.0055,Spanish
HG01605,0.0163,-7e-4,-0.0027,-0.0045,Spanish
HG01606,0.0169,-6e-4,-0.003,-0.0041,Spanish
HG01607,0.0165,2e-4,-0.0021,-0.0028,Spanish
HG01608,0.0163,-3e-4,-0.0025,-0.0055,Spanish
HG01613,0.0167,-5e-4,-0.0028,-0.0019,Spanish
HG01615,0.0166,-1e-4,-0.0027,-0.0022,Spanish
HG01617,0.0161,5e-4,-0.0023,-0.0033,Spanish
HG01618,0.0159,-2e-4,-0.0024,-8e-4,Spanish
HG01619,0.0172,4e-4,-0.002,-0.0039,Spanish
HG01620,0.0165,0,-0.002,-0.002,Spanish
HG01623,0.0169,-3e-4,-0.002,-0.0037,Spanish
HG01624,0.0165,7e-4,-0.0019,-0.0018,Spanish
HG01625,0.0168,-5e-4,-0.0025,-0.0024,Spanish
HG01626,0.0162,0.001,-9e-4,-0.0024,Spanish
HG01747,0.0168,-5e-4,-0.0026,-0.0048,Spanish
HG01746,0.0168,-3e-4,-0.0028,-0.0048,Spanish
HG01675,0.0167,-7e-4,-0.0028,-0.0019,Spanish
HG01680,0.0167,-8e-4,-0.0029,-0.0056,Spanish
HG01682,0.017,-6e-4,-0.0033,-7e-4,Spanish
HG01679,0.0169,-8e-4,-0.0027,-0.0024,Spanish
HG01676,0.0171,-4e-4,-0.0035,-0.0038,Spanish
HG01684,0.0167,-8e-4,-0.003,-0.002,Spanish
HG01705,0.0167,4e-4,-0.0022,-4e-4,Spanish
HG01707,0.0165,5e-4,-0.0025,-0.0029,Spanish
HG01685,0.0167,1e-4,-0.0018,-0.0037,Spanish
HG01686,0.0166,-0.001,-0.0025,-0.0035,Spanish
HG01704,0.0162,8e-4,-0.0014,-0.0036,Spanish
HG01673,0.0168,-4e-4,-0.0026,-0.004,Spanish
HG01761,0.0172,-5e-4,-0.0027,-0.0056,Spanish
HG01770,0.0167,-1e-4,-0.0025,-0.0024,Spanish
HG01762,0.0171,-0.0011,-0.0032,-0.0035,Spanish
HG01773,0.0168,-9e-4,-0.0028,-0.0046,Spanish
HG02220,0.0164,-0.001,-0.0026,-0.0037,Spanish
HG02238,0.0173,-4e-4,-0.0025,-0.0028,Spanish
HG01678,0.0165,1e-4,-0.0028,-0.0033,Spanish
HG01699,0.0166,7e-4,-0.0019,-0.0032,Spanish
HG01697,0.0164,-2e-4,-0.0017,-0.0031,Spanish
HG01515,0.0169,-0.0016,-0.0038,-0.0018,Spanish_North
HG01516,0.0173,-0.0013,-0.0043,-0.0021,Spanish_North
HG01518,0.0171,-0.0011,-0.0043,-0.0028,Spanish_North
HG01700,0.0165,-0.0018,-0.0041,-0.0042,Spanish_North
HG01702,0.0171,-0.0016,-0.0042,-0.0027,Spanish_North
bel43s,0.0151,-0.0045,-0.0058,-0.0029,Belarusian
bel30s,0.0152,-0.0046,-0.0056,-0.0033,Belarusian
bel72c,0.0146,-0.0044,-0.0052,-0.0024,Belarusian
bel93c,0.0147,-0.0043,-0.0058,-0.0041,Belarusian
bel110c,0.0149,-0.004,-0.0056,-0.0021,Belarusian
bel8s,0.0148,-0.0038,-0.005,-0.0036,Belarusian
belarusian23vp,0.0144,-0.0047,-0.0052,-0.0013,Belarusian
bel23s,0.0148,-0.0045,-0.0061,-0.0042,Belarusian
belarusian47zp,0.0151,-0.0043,-0.0056,-0.0042,Belarusian
bel82s,0.0153,-0.0049,-0.0055,-0.0028,Belarusian
NA15725,0.0156,-0.0038,-0.0047,-0.0059,Czech
NA15733,0.0149,-0.0034,-0.0049,-0.004,Czech
NA15726,0.0161,-0.0034,-0.0046,-0.0026,Czech
NA15727,0.0156,-0.0036,-0.0047,-0.0039,Czech
NA15728,0.0161,-0.0036,-0.0046,-0.0019,Czech
NA15729,0.016,-0.0039,-0.0045,-0.0047,Czech
NA15730,0.0157,-0.003,-0.0044,-0.0019,Czech
NA15731,0.0154,-0.0035,-0.005,-0.0051,Czech
NA15724,0.0157,-0.0031,-0.005,-0.0044,Czech
NA15732,0.0157,-0.004,-0.0051,-0.004,Czech
HG00128,0.0168,-0.0031,-0.0047,-0.0048,English
HG00129,0.0161,-0.0039,-0.005,-0.0023,English
HG00130,0.0161,-0.0024,-0.0045,-7e-4,English
HG00131,0.0161,-0.0027,-0.0044,-0.004,English
HG00233,0.0164,-0.0031,-0.0047,-0.0042,English
HG00234,0.0161,-0.0032,-0.0049,-0.0022,English
HG00232,0.0165,-0.0036,-0.0043,-0.0054,English
HG00231,0.0157,-0.0033,-0.0044,-0.0044,English
HG00126,0.0167,-0.0035,-0.0049,-0.0027,English
HG00160,0.0162,-0.0039,-0.0049,-0.0048,English
HGDP00511,0.0167,-0.0026,-0.0039,-0.0045,French
HGDP00512,0.0162,-0.0017,-0.0034,-0.0023,French
HGDP00513,0.016,-0.0018,-0.0036,-0.0026,French
HGDP00514,0.016,-0.0023,-0.0041,-0.0023,French
HGDP00515,0.0162,-0.0024,-0.0043,-0.0023,French
HGDP00516,0.0164,-0.0019,-0.0033,-0.0037,French
HGDP00517,0.0162,-0.0021,-0.0039,-0.0013,French
HGDP00518,0.0161,-0.0021,-0.004,-0.0035,French
HGDP00519,0.0161,-0.0037,-0.0045,-0.0045,French
HGDP00522,0.0163,-0.0012,-0.0038,-0.0016,French
HGDP00523,0.0156,-0.0026,-0.0046,-0.0039,French
HGDP00524,0.0166,-0.0012,-0.0036,-0.0022,French
HGDP00525,0.0162,-0.0017,-0.0035,-0.0041,French
HGDP00526,0.0161,-0.0019,-0.004,-0.004,French
HGDP00527,0.0157,-0.0026,-0.004,-0.0049,French
HGDP00528,0.016,-0.0017,-0.004,-0.0016,French
HGDP00529,0.0163,-0.0014,-0.0037,-0.0016,French
HGDP00531,0.0169,-0.0012,-0.0039,-0.0019,French
HGDP00533,0.0156,-0.0034,-0.0049,-0.0029,French
HGDP00534,0.0161,-0.0014,-0.004,-0.0033,French
HGDP00535,0.0161,-0.0031,-0.0045,-0.0015,French
