Individual,PC1,PC2,PC3,PC4,Population
mg27,0.0152,0.0022,0.0026,4e-4,Georgian
mg31,0.0162,0.0024,0.0022,0.0011,Georgian
mg34,0.0159,0.0021,0.0021,0.0012,Georgian
mg40,0.0158,0.0027,0.0021,8e-4,Georgian
iran19,0.0135,0.0023,0.003,0.001,Iranian
iran14,0.0125,0.0024,0.0024,9e-4,Iranian
iran2,0.0127,0.0027,0.0026,0.0014,Iranian
iran20,0.0121,0.0034,0.003,-3e-4,Iranian
iran3,0.0134,0.0032,0.0036,0.0024,Iranian
iran11,0.0133,0.0031,0.0026,2e-4,Iranian
iran16,0.0128,0.0028,0.0029,0.0033,Iranian
iran17,0.0125,0.0032,0.0031,0.001,Iranian
AshkenaziJew5779,0.0158,0.0024,0.0015,-0.0013,Jew_Ashkenazi
AshkenaziJew5782,0.016,0.002,0.0011,-0.0012,Jew_Ashkenazi
AshkenaziJew5783,0.0159,0.0022,5e-4,-7e-4,Jew_Ashkenazi
AshkenaziJew5704,0.0161,0.0023,0.0012,-0.0013,Jew_Ashkenazi
AshkenaziJew5728,0.016,0.0025,6e-4,-6e-4,Jew_Ashkenazi
AshkenaziJew5790,0.0158,0.002,9e-4,-4e-4,Jew_Ashkenazi
AshkenaziJew5788,0.0163,0.0024,0.001,-8e-4,Jew_Ashkenazi
GeorgianJew1607,0.0143,0.004,0.0032,0.0011,Jew_Georgian
GeorgianJew1671,0.0157,0.0037,0.0034,0.0012,Jew_Georgian
GeorgianJew1577,0.0161,0.0035,0.0031,0.0024,Jew_Georgian
GeorgianJew1971,0.0155,0.0023,0.0034,0.0017,Jew_Georgian
GeorgianJew1594,0.0158,0.0041,0.0034,0.0016,Jew_Georgian
GeorgianJew1654,0.0155,0.0042,0.0036,0.0018,Jew_Georgian
GeorgianJew1883,0.0154,0.003,0.0034,7e-4,Jew_Georgian
IranianJew1409,0.0153,0.0036,0.0041,-0.0014,Jew_Iranian
IranianJew1132,0.0157,0.0045,0.004,0.002,Jew_Iranian
IranianJew1159,0.0158,0.0045,0.0043,0.0021,Jew_Iranian
IranianJew1513,0.0156,0.0043,0.0043,0.0012,Jew_Iranian
IranianJew1556,0.0159,0.0053,0.0038,0.0031,Jew_Iranian
IranianJew1557,0.0155,0.0029,0.0032,5e-4,Jew_Iranian
IranianJew1143,0.0161,0.0045,0.0045,0.0032,Jew_Iranian
IranianJew1832,0.0154,0.0041,0.0039,0.0017,Jew_Iranian
IranianJew1845,0.0151,0.0045,0.0043,0.002,Jew_Iranian
IraqiJew4061,0.0169,0.0048,0.0043,0.0019,Jew_Iraqi
IraqiJew4241,0.0158,0.0049,0.0044,-2e-4,Jew_Iraqi
IraqiJew1417,0.0166,0.0044,0.0045,3e-4,Jew_Iraqi
IraqiJew1771,0.0159,0.0047,0.0041,0.0014,Jew_Iraqi
IraqiJew4291,0.016,0.006,0.0043,-0.0011,Jew_Iraqi
IraqiJew1430,0.016,0.0046,0.0045,1e-4,Jew_Iraqi
LibyanJew1438,0.0165,0.0054,0.0049,-4e-4,Jew_Libyan
LibyanJew1601,0.0165,0.0046,0.0041,0.0016,Jew_Libyan
LibyanJew1104,0.0161,0.0049,0.0039,-2e-4,Jew_Libyan
LibyanJew1462,0.0164,0.0049,0.0038,-0.0013,Jew_Libyan
LibyanJew1263,0.017,0.0052,0.0043,0.001,Jew_Libyan
LibyanJew1611,0.0164,0.0053,0.0038,-7e-4,Jew_Libyan
LibyanJew1605,0.0166,0.0046,0.0042,8e-4,Jew_Libyan
LibyanJew1639,0.0166,0.0048,0.0046,0.0017,Jew_Libyan
LibyanJew1659,0.0169,0.0049,0.0045,-1e-4,Jew_Libyan
MoroccanJew5126,0.0163,0.0034,0.0029,-0.0015,Jew_Moroccan
MoroccanJew4634,0.0163,0.0036,0.0031,-0.0014,Jew_Moroccan
MoroccanJew4789,0.0161,0.0042,0.0028,-0.0011,Jew_Moroccan
MoroccanJew5168,0.0157,0.0036,0.003,-9e-4,Jew_Moroccan
MoroccanJew4692,0.0165,0.0049,0.0031,0,Jew_Moroccan
MoroccanJew4683,0.0166,0.0037,0.0029,-5e-4,Jew_Moroccan
TunisianJew1421,0.0169,0.0042,0.0044,6e-4,Jew_Tunisian
TunisianJew1763,0.0167,0.0057,0.0044,0.001,Jew_Tunisian
TunisianJew1507,0.0165,0.006,0.0048,0.0011,Jew_Tunisian
TunisianJew1544,0.016,0.0046,0.0035,-0.0012,Jew_Tunisian
TunisianJew1170,0.017,0.0048,0.004,0,Jew_Tunisian
TunisianJew1531,0.0171,0.0048,0.004,6e-4,Jew_Tunisian
TunisianJew1511,0.0163,0.0051,0.0039,0.0015,Jew_Tunisian
SephardiJewTurkey4955,0.0161,0.0023,0.0024,-3e-4,Jew_Turkish
SephardiJewTurkey5877,0.0161,0.0025,0.0022,-0.0027,Jew_Turkish
SephardiJewTurkey4953,0.017,0.0042,0.003,0.0012,Jew_Turkish
SephardiJewTurkey6077,0.0169,0.0034,0.0027,-6e-4,Jew_Turkish
SephardiJewTurkey5832,0.0163,0.0033,0.0028,7e-4,Jew_Turkish
SephardiJewTurkey5075,0.0164,0.0027,0.0019,0.001,Jew_Turkish
SephardiJewTurkey4950,0.0165,0.0028,0.0017,-3e-4,Jew_Turkish
SephardiJewTurkey5033,0.0168,0.0032,0.0024,2e-4,Jew_Turkish
YemeniteJew4684,0.0166,0.007,0.0078,0.0013,Jew_Yemenite
YemeniteJew4695,0.0163,0.0085,0.0082,-3e-4,Jew_Yemenite
YemeniteJew4675,0.0157,0.0073,0.0076,0.0024,Jew_Yemenite
YemeniteJew4938,0.0165,0.008,0.0076,0.0016,Jew_Yemenite
YemeniteJew4667,0.016,0.0079,0.0085,9e-4,Jew_Yemenite
YemeniteJew4960,0.0164,0.0074,0.0077,0.0014,Jew_Yemenite
YemeniteJew5433,0.0164,0.0079,0.0079,-3e-4,Jew_Yemenite
YemeniteJew4937,0.0159,0.007,0.008,0.0017,Jew_Yemenite
Jordan543,0.0155,0.0056,0.0058,0.0014,Jordanian
Jordan214,0.0151,0.0043,0.0053,0.0023,Jordanian
Jordan445,0.0161,0.0059,0.0054,0.0017,Jordanian
Jordan62,0.0157,0.0061,0.0073,0.0017,Jordanian
Jordan603,0.0153,0.0051,0.0059,0.0011,Jordanian
Jordan307,0.0149,0.0055,0.0057,3e-4,Jordanian
Jordan503,0.0142,0.0043,0.0053,0.0023,Jordanian
Jordan646,0.0147,0.006,0.0058,0.0015,Jordanian
Jordan384,0.0151,0.0057,0.0065,5e-4,Jordanian
HGDP00675,0.0158,0.0057,0.0068,0.0021,Palestinian
HGDP00676,0.0155,0.0062,0.0063,0.0017,Palestinian
HGDP00677,0.0162,0.0059,0.0069,0.0024,Palestinian
HGDP00679,0.016,0.0061,0.0063,0.0028,Palestinian
HGDP00680,0.0153,0.0071,0.0078,0.0037,Palestinian
HGDP00683,0.0153,0.0063,0.0072,0.0025,Palestinian
HGDP00684,0.0157,0.0063,0.0064,0.0022,Palestinian
HGDP00685,0.016,0.0078,0.0083,0.0016,Palestinian
HGDP00686,0.0153,0.0065,0.007,-8e-4,Palestinian
HGDP00687,0.0163,0.0063,0.0066,0.002,Palestinian
HGDP00688,0.0157,0.0057,0.0056,8e-4,Palestinian
HGDP00689,0.016,0.0058,0.0064,0.0013,Palestinian
HGDP00690,0.016,0.0059,0.0064,0.0022,Palestinian
HGDP00691,0.0156,0.0066,0.0066,-1e-4,Palestinian
HGDP00694,0.0161,0.0061,0.0058,0.0016,Palestinian
HGDP00696,0.0159,0.0058,0.0062,0.002,Palestinian
HGDP00697,0.0161,0.0075,0.0064,0.0014,Palestinian
HGDP00698,0.0154,0.0064,0.0064,-2e-4,Palestinian
HGDP00699,0.0163,0.0057,0.0061,0.0021,Palestinian
HGDP00700,0.0155,0.0065,0.0067,0.0023,Palestinian
HGDP00722,0.0155,0.0058,0.0058,0.0015,Palestinian
HGDP00724,0.0165,0.0066,0.0072,8e-4,Palestinian
HGDP00725,0.0156,0.0069,0.0061,-3e-4,Palestinian
HGDP00726,0.0161,0.0065,0.0071,0.0014,Palestinian
HGDP00727,0.016,0.0061,0.0065,3e-4,Palestinian
HGDP00729,0.0155,0.0071,0.0067,0.0016,Palestinian
HGDP00730,0.0159,0.0065,0.0062,6e-4,Palestinian
HGDP00731,0.0155,0.0084,0.0086,0.0012,Palestinian
HGDP00732,0.0167,0.0066,0.0069,8e-4,Palestinian
HGDP00733,0.0159,0.0064,0.0066,0.0016,Palestinian
HGDP00734,0.0156,0.0061,0.0065,0,Palestinian
HGDP00735,0.0157,0.0064,0.0065,0.0021,Palestinian
HGDP00736,0.0156,0.0066,0.0057,4e-4,Palestinian
HGDP00737,0.0162,0.0068,0.0072,0.0022,Palestinian
HGDP00739,0.0153,0.0069,0.0072,0.001,Palestinian
HGDP00740,0.0159,0.0058,0.0063,0.0026,Palestinian
HGDP00741,0.0157,0.0061,0.0062,-8e-4,Palestinian
HGDP00745,0.0148,0.0059,0.0058,-1e-4,Palestinian
SaudiA5,0.0166,0.0075,0.0093,0.0024,Saudi
SaudiA6,0.0154,0.0069,0.0072,0.0025,Saudi
SaudiA7,0.0163,0.0048,0.0045,8e-4,Saudi
saudi1434,0.0167,0.0079,0.0086,0.0015,Saudi
saudi1424,0.0164,0.0078,0.0089,0.003,Saudi
SaudiA9,0.0158,0.0057,0.0064,8e-4,Saudi
SaudiA1,0.016,0.0093,0.009,3e-4,Saudi
saudi1403,0.0165,0.0078,0.0091,0.0042,Saudi
syria464,0.0145,0.0062,0.0063,8e-4,Syrian
syria361,0.0173,0.0031,0.0031,6e-4,Syrian
syria485,0.0151,0.005,0.0044,6e-4,Syrian
syria520,0.0153,0.0061,0.0058,0.0029,Syrian
syria4,0.016,0.0052,0.0047,0.0042,Syrian
syria461,0.0142,0.0071,0.008,0.0019,Syrian
syria6,0.0147,0.0057,0.0066,0.003,Syrian
syria7,0.0148,0.0053,0.0068,-1e-4,Syrian
Lebanon5,0.016,0.0069,0.0076,-3e-4,Lebanese
Lebanon6,0.0134,0.0036,0.0037,0.0017,Lebanese
Lebanon7,0.0158,0.0055,0.0043,0.0019,Lebanese
Lebanon8,0.0141,0.0035,0.0037,5e-4,Lebanese
Lebanon1,0.0165,0.0042,0.0044,-2e-4,Lebanese
Lebanon2,0.0154,0.004,0.0047,0.001,Lebanese
Lebanon3,0.0163,0.0056,0.0042,2e-4,Lebanese
Lebanon4,0.0155,0.0072,0.0067,-9e-4,Lebanese
altai363p,-0.0172,-0.0051,0,0.0232,Altaian
altai380k,-0.0162,-0.0072,-5e-4,0.0205,Altaian
altai280p,-0.0165,-0.0058,-1e-4,0.0223,Altaian
altai431k,-0.0153,-0.0062,-2e-4,0.0189,Altaian
altai283p,-0.0164,-0.0057,-6e-4,0.0213,Altaian
altai419A,-0.0149,-0.006,-3e-4,0.0198,Altaian
altai409k,-0.0171,-0.0072,-2e-4,0.0247,Altaian
Bur1.SG,-0.0223,-0.0067,4e-4,0.0303,Buryat.SG
Bur2.SG,-0.0221,-0.0053,5e-4,0.0273,Buryat.SG
Tuba12,-0.0114,-0.0073,-0.0017,0.0209,Tubalar
Tuba20,-0.0102,-0.008,-0.001,0.0155,Tubalar
Tuba13,-0.0103,-0.0087,-0.0013,0.0193,Tubalar
Tuba21,-0.0115,-0.0089,-0.0014,0.0171,Tubalar
Tuba29,-0.0115,-0.0079,-0.0011,0.0195,Tubalar
Tuba6,-0.011,-0.0081,-0.0016,0.0194,Tubalar
Tuba22,-0.0112,-0.0091,-0.0016,0.0185,Tubalar
Tuba30,-0.0119,-0.0077,-0.0011,0.0189,Tubalar
Tuba15,-0.011,-0.0073,-0.0017,0.0211,Tubalar
Tuba23,-0.0113,-0.0082,-0.0017,0.0226,Tubalar
Tuba31,-0.0103,-0.009,-0.0014,0.0198,Tubalar
Tuba16,-0.0126,-0.0082,-0.0015,0.0223,Tubalar
Tuba24,-0.011,-0.0086,-0.0019,0.0211,Tubalar
Tuba1,-0.0102,-0.0092,-0.0018,0.0202,Tubalar
Tuba9,-0.0116,-0.0076,-0.0016,0.0196,Tubalar
Tuba17,-0.0126,-0.0082,-0.001,0.021,Tubalar
Tuba25,-0.0085,-0.008,-0.0017,0.0167,Tubalar
Tuba2,-0.0091,-0.0075,-0.0021,0.017,Tubalar
Tuba10,-0.009,-0.0084,-0.0015,0.0179,Tubalar
Tuba18,-0.011,-0.0088,-0.0017,0.0189,Tubalar
Tuba11,-0.0085,-0.0086,-0.0021,0.021,Tubalar
Tuba19,-0.0114,-0.0088,-0.0017,0.0177,Tubalar
Tuvinians86,-0.0204,-0.0072,2e-4,0.0286,Tuvinian
Tuvinians111,-0.0195,-0.0079,1e-4,0.0261,Tuvinian
Tuvinians66,-0.0216,-0.0061,1e-4,0.0248,Tuvinian
Tuvinians64,-0.0195,-0.0104,5e-4,0.0278,Tuvinian
Tuvinians51,-0.0214,-0.0074,1e-4,0.0278,Tuvinian
Tuvinians67,-0.0198,-0.009,1e-4,0.0303,Tuvinian
Tuvinians56,-0.0217,-0.0059,2e-4,0.0272,Tuvinian
Tuvinians54,-0.0206,-0.0052,-1e-4,0.0254,Tuvinian
Tuvinians61,-0.0209,-0.0047,3e-4,0.0274,Tuvinian
Tuvinians85,-0.0195,-0.0081,1e-4,0.0281,Tuvinian
HGDP01203,-0.0281,-0.0086,0.001,0.037,Oroqen
HGDP01204,-0.0272,0.0018,3e-4,0.0175,Oroqen
HGDP01205,-0.0272,-0.0022,5e-4,0.0239,Oroqen
HGDP01206,-0.027,-0.0071,9e-4,0.0309,Oroqen
HGDP01207,-0.0263,-0.0029,4e-4,0.0247,Oroqen
HGDP01208,-0.0275,-0.0023,7e-4,0.0196,Oroqen
HGDP01209,-0.0272,-0.0045,8e-4,0.0259,Oroqen
HGDP01211,-0.0274,-0.0114,0.0012,0.0332,Oroqen
HGDP01212,-0.0263,0.0012,0,0.0192,Oroqen
HGDP01213,-0.0275,5e-4,1e-4,0.0217,Daur
HGDP01214,-0.0259,0.0023,3e-4,0.0198,Daur
HGDP01215,-0.0263,0.001,1e-4,0.0166,Daur
HGDP01216,-0.0267,1e-4,2e-4,0.0189,Daur
HGDP01217,-0.0262,0.001,2e-4,0.0191,Daur
HGDP01218,-0.0272,0.0018,6e-4,0.0219,Daur
HGDP01220,-0.0273,0.001,-1e-4,0.0207,Daur
HGDP01221,-0.0273,0.0012,1e-4,0.0206,Daur
HGDP01222,-0.0268,0.0014,4e-4,0.0208,Daur
HGDP01233,-0.0279,0.0027,4e-4,0.0151,Hezhen
HGDP01234,-0.0272,-0.0029,0.001,0.0265,Hezhen
HGDP01237,-0.0282,-0.0038,0.001,0.0261,Hezhen
HGDP01238,-0.0266,0.003,-4e-4,0.0161,Hezhen
HGDP01239,-0.0274,0.0029,-1e-4,0.0117,Hezhen
HGDP01240,-0.0276,-0.005,0.0014,0.0269,Hezhen
HGDP01241,-0.0277,0.0035,4e-4,0.0158,Hezhen
HGDP01242,-0.0279,-4e-4,4e-4,0.0188,Hezhen
Nlk16,-0.0084,-0.0104,-0.0016,0.0241,Even
Nlk1,-0.02,-0.0135,3e-4,0.0348,Even
Nlk18,-0.0255,-0.0171,0.0017,0.041,Even
Nlk3,-0.0263,-0.0143,0.0014,0.0449,Even
Nlk19,0.0016,-0.0071,-0.0037,0.0092,Even
Nlk5,-0.0127,-0.0104,-8e-4,0.0256,Even
Nlk6,-0.0202,-0.0137,6e-4,0.0378,Even
Nlk10,-0.0056,-0.01,-8e-4,0.0201,Even
Nlk14,-0.0066,-0.0108,-0.0019,0.0199,Even
HGDP01223,-0.0262,0.0042,-1e-4,0.0119,Mongola
HGDP01225,-0.0265,0.0072,-5e-4,0.0092,Mongola
HGDP01227,-0.0253,0.0064,-6e-4,0.0115,Mongola
HGDP01228,-0.0261,0.0061,-2e-4,0.0101,Mongola
HGDP01231,-0.0269,0.0067,-4e-4,0.0132,Mongola
HGDP01232,-0.0263,0.0071,0,0.0075,Mongola
Ul5,-0.0279,-0.0102,0.0016,0.0253,Ulchi
Ul31,-0.0284,-0.0104,0.0016,0.0283,Ulchi
Ul65,-0.0286,-0.0123,0.0019,0.0296,Ulchi
Ul6,-0.028,-0.0076,0.0019,0.023,Ulchi
Ul33,-0.0277,-0.008,0.0011,0.0294,Ulchi
Ul71,-0.0286,-0.0086,0.0015,0.0284,Ulchi
Ul10,-0.0289,-0.0076,0.0016,0.0229,Ulchi
Ul43,-0.0286,-0.0108,0.0018,0.0303,Ulchi
Ul72,-0.0279,-0.0096,0.0017,0.0258,Ulchi
Ul44,-0.0281,-0.0077,0.0012,0.0265,Ulchi
Ul74,-0.0282,-0.0086,0.0014,0.0241,Ulchi
Ul19,-0.0279,-0.0042,0.0017,0.0176,Ulchi
Ul24,-0.0276,-0.0114,0.0012,0.0332,Ulchi
Ul59,-0.0283,-0.0094,0.0015,0.0251,Ulchi
Ul56,-0.0276,-0.0059,0.0015,0.0226,Ulchi
Ul55,-0.0283,-0.0099,0.0018,0.0253,Ulchi
Ul16,-0.0286,-0.0078,0.0019,0.0249,Ulchi
Ul69,-0.0284,-0.0089,0.0017,0.027,Ulchi
Ul1,-0.0284,-0.0063,0.0014,0.0199,Ulchi
Ul36,-0.0278,-0.0134,0.0015,0.0313,Ulchi
Ul25,-0.0285,-0.0078,0.0016,0.0264,Ulchi
Ul52,-0.0284,-0.0083,9e-4,0.0259,Ulchi
Ul70,-0.0286,-0.0096,0.0013,0.0277,Ulchi
Ul51,-0.0281,-0.011,0.0017,0.0205,Ulchi
Ul39,-0.0284,-0.0088,0.0016,0.0246,Ulchi
Yuk_009,-0.0247,-0.0197,0.0018,0.0323,Yukagir
Yuk_025,-0.0248,-0.0206,0.0023,0.0234,Yukagir
Yuk_022,-0.026,-0.0237,0.0029,0.004,Yukagir
Yuk_020,-0.0251,-0.029,0.0035,-0.0139,Yukagir
Yuk_024,-0.0247,-0.0307,0.0043,-0.0296,Yukagir
Yuk_023,-0.0267,-0.0256,0.0033,0.0102,Yukagir
Yuk_004,-0.0238,-0.0154,0.0012,0.0341,Yukagir
Yuk_019,-0.0267,-0.0255,0.0028,0.0118,Yukagir
Yuk_011,-0.0241,-0.0171,0.0011,0.0354,Yukagir
Yuk_021,-0.0272,-0.0211,0.002,0.0365,Yukagir
Nel19,-0.0027,-0.0113,-0.0023,0.0135,Yukagir
Nel13,-0.005,-0.0102,-0.0018,0.0155,Yukagir
Nel15,-0.0057,-0.0125,-0.0017,0.015,Yukagir
Ckrd8,-0.0257,-0.0271,0.0034,-0.007,Yukagir
Nel16,-0.0038,-0.0113,-0.0025,0.0151,Yukagir
Ckrd9,-0.0258,-0.0275,0.0034,-0.0024,Yukagir
Nel17,-0.0066,-0.0144,-0.0017,0.0148,Yukagir
Ckrd13,-0.0248,-0.0148,0.0015,0.0406,Yukagir
Ckrd18,-0.0265,-0.0202,0.0024,0.0353,Yukagir
Chuvash33,0.0051,-0.0076,-0.0038,0.0082,Chuvash
Chuvash37,0.0041,-0.0074,-0.0036,0.0068,Chuvash
Chuvash13,0.0041,-0.0087,-0.0034,0.0087,Chuvash
Chuvash20,0.0051,-0.0082,-0.0037,0.0059,Chuvash
Chuvash22,0.004,-0.0076,-0.0035,0.0065,Chuvash
Chuvash26,0.0058,-0.0071,-0.0036,0.0076,Chuvash
Chuvash24,0.0044,-0.0081,-0.0039,0.004,Chuvash
Chuvash29,0.0045,-0.0089,-0.0038,0.0068,Chuvash
Chuvash25,0.0061,-0.0076,-0.0044,0.0054,Chuvash
Chuvash31,0.0056,-0.0078,-0.0039,0.0057,Chuvash
HGDP00945,-0.0232,-0.0096,5e-4,0.0388,Yakut
HGDP00946,-0.0236,-0.0111,0.001,0.0413,Yakut
HGDP00947,-0.0218,-0.0106,5e-4,0.0406,Yakut
HGDP00948,-0.0203,-0.0099,8e-4,0.0377,Yakut
HGDP00950,-0.0198,-0.0102,1e-4,0.0346,Yakut
HGDP00951,-0.0233,-0.0109,6e-4,0.0409,Yakut
HGDP00952,-0.0227,-0.01,5e-4,0.0386,Yakut
HGDP00954,-0.0231,-0.0095,6e-4,0.0389,Yakut
HGDP00955,-0.0236,-0.0114,8e-4,0.0399,Yakut
HGDP00956,-0.0237,-0.0104,9e-4,0.0416,Yakut
HGDP00958,-0.0211,-0.0099,4e-4,0.0393,Yakut
HGDP00960,-0.024,-0.0116,0.0011,0.0429,Yakut
HGDP00961,-0.0231,-0.0097,9e-4,0.0411,Yakut
HGDP00962,-0.0238,-0.0109,9e-4,0.0441,Yakut
HGDP00963,-0.0236,-0.0099,9e-4,0.0373,Yakut
HGDP00964,-0.0222,-0.0103,5e-4,0.0398,Yakut
HGDP00965,-0.0232,-0.0101,9e-4,0.0426,Yakut
HGDP00966,-0.0216,-0.0102,6e-4,0.0376,Yakut
HGDP00967,-0.0231,-0.0106,5e-4,0.0378,Yakut
HGDP00968,-0.0208,-0.01,3e-4,0.0372,Yakut
Dolgan1708,-0.0246,-0.0141,0.0011,0.0435,Dolgan
Dolgan3185,-0.0231,-0.0097,2e-4,0.0375,Dolgan
Dolgan3875,-0.0204,-0.0122,6e-4,0.0421,Dolgan
Dolgan3857,-0.0179,-0.012,5e-4,0.0365,Dolgan
NA13613,-0.0286,0.0223,-0.0022,-0.0308,Ami
NA13614,-0.0285,0.0215,-0.0021,-0.0301,Ami
NA13607,-0.0285,0.021,-0.0025,-0.0287,Ami
NA13615,-0.0284,0.0221,-0.0024,-0.0279,Ami
NA13608,-0.0284,0.021,-0.0024,-0.0284,Ami
NA13616,-0.0288,0.0222,-0.0023,-0.03,Ami
NA13609,-0.0288,0.0207,-0.0023,-0.0273,Ami
NA13610,-0.0285,0.0218,-0.002,-0.0294,Ami
NA13611,-0.0287,0.0215,-0.0024,-0.0294,Ami
NA13612,-0.0286,0.0209,-0.0025,-0.0293,Ami
NA13597,-0.0285,0.0226,-0.0023,-0.0391,Atayal
NA13605,-0.0286,0.0217,-0.0021,-0.036,Atayal
NA13598,-0.0283,0.0222,-0.0024,-0.036,Atayal
NA13606,-0.0282,0.0225,-0.0022,-0.0405,Atayal
NA13599,-0.0292,0.0229,-0.0025,-0.0415,Atayal
NA13601,-0.0284,0.0221,-0.0026,-0.038,Atayal
NA13602,-0.0281,0.0224,-0.0025,-0.037,Atayal
NA13603,-0.0283,0.0233,-0.0025,-0.0369,Atayal
NA13604,-0.0288,0.0234,-0.0024,-0.0397,Atayal
HGDP01347,-0.0255,0.0087,-7e-4,0.0059,Tu
HGDP01348,-0.0243,0.0084,-4e-4,0.0068,Tu
HGDP01349,-0.026,0.0085,-4e-4,0.0099,Tu
HGDP01350,-0.024,0.0066,-5e-4,0.0058,Tu
HGDP01351,-0.0252,0.0085,-3e-4,0.0065,Tu
HGDP01352,-0.0258,0.0086,-6e-4,0.0078,Tu
HGDP01353,-0.0241,0.0072,-8e-4,0.0038,Tu
HGDP01354,-0.0256,0.0096,-5e-4,0.0067,Tu
HGDP01355,-0.0261,0.0087,-4e-4,0.005,Tu
HGDP01356,-0.0247,0.0083,-7e-4,0.0078,Tu
HGDP01095,-0.0286,0.0151,-0.0015,-0.0076,Tujia
HGDP01096,-0.0288,0.0136,-0.0012,-0.0025,Tujia
HGDP01097,-0.0287,0.0155,-0.0015,-0.0067,Tujia
HGDP01098,-0.0281,0.0138,-0.0012,-0.0038,Tujia
HGDP01099,-0.0284,0.0125,-0.001,-0.004,Tujia
HGDP01100,-0.0286,0.0142,-0.0012,-0.0032,Tujia
HGDP01101,-0.0286,0.0153,-0.0014,-0.0057,Tujia
HGDP01102,-0.029,0.0148,-0.0012,-0.0028,Tujia
HGDP01103,-0.0286,0.0149,-0.0014,-0.0065,Tujia
HGDP01104,-0.0293,0.0132,-0.001,-0.0019,Tujia
HGDP01244,-0.0266,0.0047,-3e-4,0.0136,Xibo
HGDP01245,-0.0274,0.0039,-3e-4,0.0162,Xibo
HGDP01246,-0.0276,0.004,2e-4,0.0118,Xibo
HGDP01248,-0.0252,0.0044,-4e-4,0.0124,Xibo
HGDP01249,-0.0271,0.005,-3e-4,0.0119,Xibo
HGDP01250,-0.0259,0.0048,0,0.0142,Xibo
HGDP01251,-0.0271,0.0055,0,0.0131,Xibo
HGDP01179,-0.0277,0.0115,-6e-4,8e-4,Yi
HGDP01180,-0.0282,0.0115,-5e-4,0.0017,Yi
HGDP01181,-0.0274,0.0113,-7e-4,-3e-4,Yi
HGDP01182,-0.0268,0.0082,-4e-4,0.0109,Yi
HGDP01183,-0.0274,0.0097,-5e-4,0.0015,Yi
HGDP01184,-0.0271,0.0114,-6e-4,4e-4,Yi
HGDP01185,-0.0277,0.0116,-6e-4,3e-4,Yi
